Star_name,Note,Sp_Type,G,V,B-V,Name,Model,STIS,Var,name,mag,e_mag,mag_syn,resid,uvflag
BD+75 325,,sdO5,,9.55,-0.33,bd_75d325,,_stis_006*,,bd_75d325,9.4412,0.0029,4.1918488013448005,0.010151198655199423,0
DELTA UMI,,A1V,,4.34,0.03,delumi,_mod_005,_stis_005,0.04,delumi,4.3641,0.0005,4.274087564558027,-0.0015875645580267772,0
ETA1 DOR,,A0V,,5.69,-0.01,eta1dor,_mod_005,_stis_005,0.18,eta1dor,5.7068,0.0006,4.363315475938666,0.000784524061333336,0
HD009051,,G7III,,8.92,0.81,hd009051,_mod_006,_stis_009,,hd009051,9.0794,0.0015,5.060477984321732,0.010522015678267493,0
HD128998,,A1V,,5.83,0.00,hd128998,_mod_004,_stis_004,0.05,hd128998,5.8369,0.0006,5.7012953865325215,0.0055046134674787695,0
HD142331,,G5V,,8.75,0.64,hd142331,_mod_006,_stis_006,,hd142331,8.86,0.0026,5.7203954318593375,0.007004568140662748,0
HD14943,,A5V,,5.91,0.19,hd14943,_mod_004,_stis_006,0.05,hd14943,5.9685,0.0006,5.833436423239402,0.003463576760598386,0
HD158485,,A4V,,6.50,0.13,hd158485,_mod_005,_stis_007,0.42,hd158485,6.5421,0.0006,5.9714868582895555,-0.002986858289555805,0
HD163466,,A6V,,6.85,0.19,hd163466,_mod_005,_stis_007,0.17,hd163466,6.9195,0.0012,6.544063264188598,-0.001963264188598046,0
HD165459,5,A4V,,6.86,0.13,hd165459,_mod_005,_stisnic_007,,hd165459,6.9097,0.0008,6.662690649162677,0.0005093508373228417,0
HD172728,,A0V,,5.74,-0.05,hd172728,_mod_004,_stis_004,,hd172728,5.7274,0.0006,6.910492179830303,-0.000792179830303219,0
HD200775,,B2Ve,,7.43,0.33,hd200775,,_stis_001,,hd200775,7.4118,0.0018,6.920944003541727,-0.0014440035417271346,0
HD209458,6,G0V,,7.65,0.59,hd209458,_mod_003,_stisnic_008,,hd209458,7.7719,0.002,6.938009033316451,0.00759096668354875,0
HD2811,,A3V,,7.50,0.17,hd2811,_mod_006,_stis_006,,hd2811,7.5802,0.0012,7.447742503592998,-0.03594250359299789,0
HD60753,7,B3IV,,6.68,-0.09,hd60753,,_stis_004,,hd60753,6.6632,0.0006,7.577955666568808,0.0022443334311912366,0
HD93521,,O9Vp,,6.99,-0.27,hd93521,_mod_003,_stis_007*,,hd93521,6.9456,0.0015,7.776608774112955,-0.004708774112955005,0
KSI2 CETI,,B9III,,4.28,-0.04,ksi2ceti,_mod_006,_stis_008,,ksi2ceti,4.2725,0.0006,8.86845918751839,-0.008459187518390365,0
LAMBDA LEP,,B0.5V,,4.29,-0.25,lamlep,_mod_006,_stis_008,0.35,lamlep,4.202,0.0006,9.087621780612022,-0.008221780612021945,0
MU COL,,O9.5V,,5.18,-0.28,mucol,_mod_006,_stis_008,0.12,mucol,5.071,0.0005,9.423194152047135,0.01800584795286575,0
